,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
2028,effect rat lead cadmium acet ,-12.376381,-3.3404214,-5.524761,Effects of lead pollution at industrial contaminated sites on sentinel juvenile Achatina achatina,"['effect', 'lead', 'pollut', 'industri', 'contamin', 'site', 'sentinel', 'juvenil', 'achatina', 'achatina']",467897,2009,Effects of lead pollution at industrial contaminated sites on sentinel juvenile Achatina achatina,effect lead pollut industri contamin site sentinel juvenil achatina achatina,14
2039,effect rat lead cadmium acet ,-5.885409,3.3975763,-12.657172,"Inhalation of cadmium, lead or its mixture effects on the bronchiolar structure and its relation with metal tissue concentrations","['inhal', 'cadmium', 'lead', 'mixtur', 'effect', 'bronchiolar', 'structur', 'relat', 'metal', 'tissu', 'concentr']",471511,2005,"Inhalation of cadmium, lead or its mixture effects on the bronchiolar structure and its relation with metal tissue concentrations",inhal cadmium lead mixtur effect bronchiolar structur relat metal tissu concentr,14
2066,effect rat lead cadmium acet ,0.20386566,3.5894282,6.390078,Cellular localization of lead using an antibody-based detection system and enzyme activity changes in the gills and digestive gland of the blue mussel Mytilus edulis,"['cellular', 'local', 'lead', 'use', 'antibody-bas', 'detect', 'system', 'enzym', 'activ', 'chang', 'gill', 'digest', 'gland', 'blue', 'mussel', 'mytilu', 'eduli']",468229,2009,Cellular localization of lead using an antibody-based detection system and enzyme activity changes in the gills and digestive gland of the blue mussel Mytilus edulis,cellular local lead use antibody-bas detect system enzym activ chang gill digest gland blue mussel mytilu eduli,14
2077,effect rat lead cadmium acet ,-11.090561,5.9532204,5.261975,Ferritin expression in rat hepatocytes and Kupffer cells after lead nitrate treatment,"['ferritin', 'express', 'rat', 'hepatocyt', 'kupffer', 'cell', 'lead', 'nitrat', 'treatment']",469689,2009,Ferritin expression in rat hepatocytes and Kupffer cells after lead nitrate treatment,ferritin express rat hepatocyt kupffer cell lead nitrat treatment,14
2085,effect rat lead cadmium acet ,-12.358337,3.033424,-7.829634,The paradoxical effects of lead in interferon-gamma knockout BALB/c mice,"['the', 'paradox', 'effect', 'lead', 'interferon-gamma', 'knockout', 'balb/c', 'mice']",472977,2006,The paradoxical effects of lead in interferon-gamma knockout BALB/c mice,the paradox effect lead interferon-gamma knockout balb/c mice,14
2128,effect rat lead cadmium acet ,-11.615426,-0.10251508,-4.351902,Lead and growth status of schoolchildren living in the copper basin of south-western Poland: Differential effects on bone growth,"['lead', 'growth', 'statu', 'schoolchildren', 'live', 'copper', 'basin', 'south-western', 'poland', 'differenti', 'effect', 'bone', 'growth']",482501,2006,Lead and growth status of schoolchildren living in the copper basin of south-western Poland: Differential effects on bone growth,lead growth statu schoolchildren live copper basin south-western poland differenti effect bone growth,14
2135,effect rat lead cadmium acet ,-4.225863,1.570957,4.7366557,Marginal zinc deficiency exacerbates bone lead accumulation and high dietary zinc attenuates lead accumulation at the expense of bone density in growing rats,"['margin', 'zinc', 'defici', 'exacerb', 'bone', 'lead', 'accumul', 'high', 'dietari', 'zinc', 'attenu', 'lead', 'accumul', 'expens', 'bone', 'densiti', 'grow', 'rat']",483602,2006,Marginal zinc deficiency exacerbates bone lead accumulation and high dietary zinc attenuates lead accumulation at the expense of bone density in growing rats,margin zinc defici exacerb bone lead accumul high dietari zinc attenu lead accumul expens bone densiti grow rat,14
2143,effect rat lead cadmium acet ,-16.751347,0.3105999,0.8338152,Effect of age-dependent exposure to lead on hepatotoxicity and nephrotoxicity in male rats,"['effect', 'age-depend', 'exposur', 'lead', 'hepatotox', 'nephrotox', 'male', 'rat']",634266,2011,Effect of age-dependent exposure to lead on hepatotoxicity and nephrotoxicity in male rats,effect age-depend exposur lead hepatotox nephrotox male rat,14
2188,effect rat lead cadmium acet ,-11.753218,0.093126886,-5.468543,"Inhibitory effect of Pb2+ on the transport cycle of the Na+,K+-ATPase","['inhibitori', 'effect', 'pb2+', 'transport', 'cycl', 'na+', 'k+-atpas']",475771,2009,"Inhibitory effect of Pb2+ on the transport cycle of the Na+,K+-ATPase",inhibitori effect pb2+ transport cycl na+ k+-atpas,14
2203,effect rat lead cadmium acet ,-11.783562,2.4228957,-8.729757,A proton magnetic resonance spectroscopy study of the chronic lead effect on the basal ganglion and frontal and occipital lobes in middle-age adults,"['A', 'proton', 'magnet', 'reson', 'spectroscopi', 'studi', 'chronic', 'lead', 'effect', 'basal', 'ganglion', 'frontal', 'occipit', 'lobe', 'middle-ag', 'adult']",481395,2009,A proton magnetic resonance spectroscopy study of the chronic lead effect on the basal ganglion and frontal and occipital lobes in middle-age adults,A proton magnet reson spectroscopi studi chronic lead effect basal ganglion frontal occipit lobe middle-ag adult,14
2236,effect rat lead cadmium acet ,-7.630724,-4.7243834,-1.3490418,"Bioaccumulation of lead and the effects of lead on catalase activity, glutathione levels, and chlorophyll content in the leaves of wheat","['bioaccumul', 'lead', 'effect', 'lead', 'catalas', 'activ', 'glutathion', 'level', 'chlorophyl', 'content', 'leav', 'wheat']",636584,2010,"Bioaccumulation of lead and the effects of lead on catalase activity, glutathione levels, and chlorophyll content in the leaves of wheat",bioaccumul lead effect lead catalas activ glutathion level chlorophyl content leav wheat,14
2254,effect rat lead cadmium acet ,-6.1457467,6.9635477,7.426164,"Lead acetate impact on some markers of female reproductive system performances (litter size, sex ratio) and physical development (vaginal opening) in rats","['lead', 'acet', 'impact', 'marker', 'femal', 'reproduct', 'system', 'perform', 'litter', 'size', 'sex', 'ratio', 'physic', 'develop', 'vagin', 'open', 'rat']",644102,2008,"Lead acetate impact on some markers of female reproductive system performances (litter size, sex ratio) and physical development (vaginal opening) in rats",lead acet impact marker femal reproduct system perform litter size sex ratio physic develop vagin open rat,14
2255,effect rat lead cadmium acet ,-11.224304,-1.3083264,-4.5194454,Sex-specific effects of gestational and lactational coexposure to lead and cadmium on hepatic phase I and phase II xenobiotic/steroid-metabolizing enzymes and antioxidant status,"['sex-specif', 'effect', 'gestat', 'lactat', 'coexposur', 'lead', 'cadmium', 'hepat', 'phase', 'I', 'phase', 'II', 'xenobiotic/steroid-metabol', 'enzym', 'antioxid', 'statu']",644105,2009,Sex-specific effects of gestational and lactational coexposure to lead and cadmium on hepatic phase I and phase II xenobiotic/steroid-metabolizing enzymes and antioxidant status,sex-specif effect gestat lactat coexposur lead cadmium hepat phase I phase II xenobiotic/steroid-metabol enzym antioxid statu,14
2257,effect rat lead cadmium acet ,-11.507849,3.4930665,-6.427935,In vitro study on the effects of lead and mercury on porcine ovarian granulosa cells,"['In', 'vitro', 'studi', 'effect', 'lead', 'mercuri', 'porcin', 'ovarian', 'granulosa', 'cell']",644182,2010,In vitro study on the effects of lead and mercury on porcine ovarian granulosa cells,In vitro studi effect lead mercuri porcin ovarian granulosa cell,14
2269,effect rat lead cadmium acet ,-13.381542,4.3928013,-5.7210765,"The effects of dietary calcium on lead absorption, distribution, and elimination kinetics in rats","['the', 'effect', 'dietari', 'calcium', 'lead', 'absorpt', 'distribut', 'elimin', 'kinet', 'rat']",647234,1985,"The effects of dietary calcium on lead absorption, distribution, and elimination kinetics in rats",the effect dietari calcium lead absorpt distribut elimin kinet rat,14
2271,effect rat lead cadmium acet ,-4.022231,4.8839116,5.259284,An analysis of intestinal calcium transport across the rat intestine,"['An', 'analysi', 'intestin', 'calcium', 'transport', 'across', 'rat', 'intestin']",647236,1986,An analysis of intestinal calcium transport across the rat intestine,An analysi intestin calcium transport across rat intestin,14
2302,effect rat lead cadmium acet ,-7.1067734,5.5253673,7.7933874,Hepatic expression of spermatogenic genes and their transiently remarkable downregulations in Wistar-Kyoto rats in response to lead-nitrate administration: strain-difference in the gene expression patterns,"['hepat', 'express', 'spermatogen', 'gene', 'transient', 'remark', 'downregul', 'wistar-kyoto', 'rat', 'respons', 'lead-nitr', 'administr', 'strain-differ', 'gene', 'express', 'pattern']",786613,2011,Hepatic expression of spermatogenic genes and their transiently remarkable downregulations in Wistar-Kyoto rats in response to lead-nitrate administration: strain-difference in the gene expression patterns,hepat express spermatogen gene transient remark downregul wistar-kyoto rat respons lead-nitr administr strain-differ gene express pattern,14
2310,effect rat lead cadmium acet ,-11.488688,-1.4636333,-5.1143765,Effects of nutrient recycling and food-chain length on resilience,"['effect', 'nutrient', 'recycl', 'food-chain', 'length', 'resili']",656583,1989,Effects of nutrient recycling and food-chain length on resilience,effect nutrient recycl food-chain length resili,14
2313,effect rat lead cadmium acet ,-5.3927555,5.507074,6.3716955,Hepatic glutathione metabolism in mice acutely treated with lead acetate,"['hepat', 'glutathion', 'metabol', 'mice', 'acut', 'treat', 'lead', 'acet']",656606,1989,Hepatic glutathione metabolism in mice acutely treated with lead acetate,hepat glutathion metabol mice acut treat lead acet,14
2318,effect rat lead cadmium acet ,-11.5501585,6.895661,6.2182617,Evaluation of malondialdehyde as an index of lead damage in rat brain homogenates,"['evalu', 'malondialdehyd', 'index', 'lead', 'damag', 'rat', 'brain', 'homogen']",657207,1995,Evaluation of malondialdehyde as an index of lead damage in rat brain homogenates,evalu malondialdehyd index lead damag rat brain homogen,14
2322,effect rat lead cadmium acet ,-8.533201,5.3128467,6.182854,Interactions of trialkyllead compounds with rat liver mitochondria,"['interact', 'trialkyllead', 'compound', 'rat', 'liver', 'mitochondria']",657235,1998,Interactions of trialkyllead compounds with rat liver mitochondria,interact trialkyllead compound rat liver mitochondria,14
2368,effect rat lead cadmium acet ,3.0632594,3.134142,6.807237,Influence of lead on growth and nutrient accumulation in canola (Brassica napus L.) cultivars,"['influenc', 'lead', 'growth', 'nutrient', 'accumul', 'canola', 'brassica', 'napu', 'L.', 'cultivar']",787072,2011,Influence of lead on growth and nutrient accumulation in canola (Brassica napus L.) cultivars,influenc lead growth nutrient accumul canola brassica napu L. cultivar,14
2385,effect rat lead cadmium acet ,-10.889358,6.665328,4.9003534,Ultrastructural changes in lung tissue after acute lead intoxication in the rat,"['ultrastructur', 'chang', 'lung', 'tissu', 'acut', 'lead', 'intox', 'rat']",787206,2011,Ultrastructural changes in lung tissue after acute lead intoxication in the rat,ultrastructur chang lung tissu acut lead intox rat,14
2400,effect rat lead cadmium acet ,-16.648832,-0.008051944,0.3137605,Effect of lead and cadmium co-exposure on testicular steroid metabolism and antioxidant system of adult male rats,"['effect', 'lead', 'cadmium', 'co-exposur', 'testicular', 'steroid', 'metabol', 'antioxid', 'system', 'adult', 'male', 'rat']",787528,2012,Effect of lead and cadmium co-exposure on testicular steroid metabolism and antioxidant system of adult male rats,effect lead cadmium co-exposur testicular steroid metabol antioxid system adult male rat,14
2405,effect rat lead cadmium acet ,-14.138287,0.4113206,-4.47251,Effects of lead on neurogenesis during zebrafish embryonic brain development,"['effect', 'lead', 'neurogenesi', 'zebrafish', 'embryon', 'brain', 'develop']",787628,2011,Effects of lead on neurogenesis during zebrafish embryonic brain development,effect lead neurogenesi zebrafish embryon brain develop,14
2433,effect rat lead cadmium acet ,-14.820036,5.435175,-0.3937589,Effects of flaxseed oil on lead acetate-induced neurotoxicity in rats,"['effect', 'flaxse', 'oil', 'lead', 'acetate-induc', 'neurotox', 'rat']",792480,2011,Effects of flaxseed oil on lead acetate-induced neurotoxicity in rats,effect flaxse oil lead acetate-induc neurotox rat,14
2435,effect rat lead cadmium acet ,-14.877578,1.921913,-4.6808853,Teratogenic effects of lead acetate on kidney,"['teratogen', 'effect', 'lead', 'acet', 'kidney']",807111,2010,Teratogenic effects of lead acetate on kidney,teratogen effect lead acet kidney,14
2468,effect rat lead cadmium acet ,-1.4104115,21.897316,-1.0862082,Light and electron microscopic study of the toxic effect of prolonged lead exposure on the seminiferous tubules of albino rats and the possible protective effect of ascorbic acid,"['light', 'electron', 'microscop', 'studi', 'toxic', 'effect', 'prolong', 'lead', 'exposur', 'seminifer', 'tubul', 'albino', 'rat', 'possibl', 'protect', 'effect', 'ascorb', 'acid']",815266,2011,Light and electron microscopic study of the toxic effect of prolonged lead exposure on the seminiferous tubules of albino rats and the possible protective effect of ascorbic acid,light electron microscop studi toxic effect prolong lead exposur seminifer tubul albino rat possibl protect effect ascorb acid,14
2482,effect rat lead cadmium acet ,-14.580172,5.1287,-0.56435204,Effect of acute pretreatment of lead on picrotoxin-induced convulsions in rats,"['effect', 'acut', 'pretreat', 'lead', 'picrotoxin-induc', 'convuls', 'rat']",830603,1993,Effect of acute pretreatment of lead on picrotoxin-induced convulsions in rats,effect acut pretreat lead picrotoxin-induc convuls rat,14
2496,effect rat lead cadmium acet ,1.1011229,2.9925396,0.012122751,"Occurrence and transport of cadmium, lead, and zinc in the spokane river basin, Idaho and Washington, water years 1999-2001","['occurr', 'transport', 'cadmium', 'lead', 'zinc', 'spokan', 'river', 'basin', 'idaho', 'washington', 'water', 'year']",852553,2003,"Occurrence and transport of cadmium, lead, and zinc in the spokane river basin, Idaho and Washington, water years 1999-2001",occurr transport cadmium lead zinc spokan river basin idaho washington water year,14
